1,1,3.3
1,2,2.6
1,3,3.3
1,4,3.3
2,1,4.0
2,2,0.2
2,3,2.2
2,4,0.2
3,1,0.8
3,2,0.9
3,3,3.8
3,4,3.6
4,1,3.8
4,2,4.5
4,3,1.0
4,4,4.1
5,1,0.8
5,2,3.3
5,3,4.4
5,4,4.6
6,1,1.3
6,2,0.2
6,3,2.2
6,4,3.2
7,1,2.1
7,2,4.1
7,3,2.7
7,4,4.5
8,1,1.0
8,2,4.3
8,3,1.0
8,4,4.8
9,1,3.9
9,2,0.3
9,3,0.9
9,4,2.1
10,1,2.1
10,2,2.1
10,3,5.0
10,4,4.2
11,1,2.9
11,2,0.2
11,3,1.3
11,4,0.7
12,1,1.8
12,2,4.2
12,3,3.0
12,4,5.0
13,1,3.5
13,2,1.3
13,3,4.4
13,4,4.5
14,1,4.1
14,2,2.4
14,3,3.3
14,4,0.4
15,1,0.7
15,2,3.9
15,3,3.7
15,4,1.9
16,1,2.7
16,2,1.4
16,3,2.6
16,4,4.8
17,1,0.6
17,2,1.0
17,3,3.3
17,4,1.3
18,1,4.1
18,2,0.8
18,3,3.0
18,4,1.2
19,1,0.1
19,2,2.2
19,3,3.0
19,4,1.7
20,1,1.9
20,2,4.8
20,3,0.1
20,4,3.2
21,1,2.1
21,2,1.1
21,3,3.2
21,4,4.4
22,1,1.3
22,2,4.3
22,3,2.1
22,4,3.0
23,1,1.6
23,2,4.9
23,3,5.0
23,4,2.5
24,1,2.6
24,2,1.4
24,3,0.9
24,4,2.2
25,1,0.1
25,2,4.5
25,3,2.7
25,4,4.9
26,1,4.6
26,2,4.8
26,3,1.6
26,4,0.4
27,1,3.1
27,2,0.6
27,3,1.5
27,4,1.0
28,1,3.6
28,2,2.3
28,3,4.5
28,4,3.7
29,1,4.0
29,2,1.6
29,3,3.1
29,4,4.5
30,1,3.2
30,2,1.8
30,3,4.6
30,4,2.0
31,1,1.9
31,2,1.3
31,3,1.3
31,4,4.6
32,1,1.9
32,2,4.8
32,3,2.6
32,4,1.0
33,1,0.1
33,2,0.5
33,3,2.4
33,4,1.1
34,1,0.7
34,2,1.5
34,3,2.4
34,4,1.7
35,1,4.1
35,2,1.8
35,3,4.7
35,4,3.6
36,1,2.1
36,2,2.6
36,3,0.5
36,4,4.1
37,1,4.6
37,2,4.5
37,3,4.5
37,4,4.8
38,1,2.6
38,2,1.5
38,3,4.0
38,4,4.6
39,1,0.3
39,2,2.7
39,3,0.6
39,4,4.7
40,1,4.8
40,2,2.9
40,3,3.0
40,4,4.6
41,1,4.4
41,2,3.5
41,3,2.0
41,4,2.7
42,1,3.1
42,2,3.6
42,3,2.2
42,4,4.8
43,1,3.3
43,2,3.7
43,3,3.1
43,4,4.3
44,1,0.3
44,2,1.8
44,3,3.9
44,4,3.4
45,1,0.9
45,2,2.4
45,3,4.4
45,4,4.0
46,1,4.0
46,2,4.9
46,3,3.2
46,4,1.3
47,1,2.1
47,2,0.5
47,3,4.4
47,4,4.6
48,1,0.7
48,2,1.2
48,3,4.4
48,4,3.8
49,1,0.8
49,2,3.7
49,3,4.5
49,4,3.8
50,1,4.0
50,2,3.0
50,3,3.0
50,4,0.9
51,1,2.8
51,2,1.1
51,3,3.2
51,4,3.0
52,1,3.9
52,2,3.9
52,3,4.6
52,4,2.1
53,1,1.7
53,2,2.4
53,3,1.0
53,4,3.2
54,1,4.6
54,2,5.0
54,3,2.2
54,4,0.3
55,1,1.1
55,2,1.6
55,3,3.9
55,4,0.3
56,1,0.5
56,2,0.3
56,3,0.6
56,4,4.0
57,1,3.4
57,2,4.5
57,3,3.7
57,4,2.0
58,1,1.2
58,2,4.5
58,3,2.7
58,4,4.2
59,1,1.3
59,2,1.6
59,3,1.6
59,4,1.7
60,1,1.7
60,2,3.9
60,3,3.3
60,4,3.1
61,1,4.0
61,2,2.4
61,3,5.0
61,4,2.6
62,1,1.4
62,2,3.5
62,3,2.7
62,4,3.0
63,1,2.3
63,2,2.8
63,3,2.7
63,4,1.6
64,1,1.1
64,2,2.2
64,3,3.2
64,4,0.3
65,1,2.5
65,2,0.6
65,3,4.0
65,4,2.7
66,1,3.1
66,2,1.5
66,3,3.4
66,4,1.1
67,1,4.9
67,2,3.6
67,3,1.1
67,4,2.0
68,1,2.2
68,2,2.6
68,3,1.6
68,4,5.0
69,1,0.3
69,2,1.9
69,3,2.0
69,4,3.0
70,1,4.7
70,2,4.8
70,3,4.2
70,4,0.4
71,1,1.1
71,2,1.3
71,3,0.8
71,4,3.4
72,1,4.8
72,2,3.0
72,3,3.5
72,4,2.7
73,1,0.1
73,2,3.5
73,3,0.6
73,4,4.1
74,1,0.3
74,2,3.1
74,3,4.6
74,4,4.2
75,1,4.8
75,2,0.1
75,3,2.8
75,4,0.2
76,1,1.9
76,2,2.4
76,3,1.4
76,4,4.8
77,1,2.8
77,2,0.3
77,3,0.9
77,4,4.0
78,1,2.2
78,2,0.8
78,3,4.9
78,4,1.0
79,1,3.9
79,2,2.0
79,3,4.6
79,4,3.1
80,1,0.7
80,2,1.8
80,3,0.9
80,4,3.3
81,1,2.1
81,2,1.8
81,3,0.9
81,4,3.7
82,1,3.1
82,2,1.6
82,3,3.2
82,4,3.8
83,1,0.2
83,2,3.5
83,3,3.9
83,4,1.9
84,1,4.3
84,2,4.3
84,3,2.1
84,4,4.0
85,1,2.9
85,2,1.3
